Name,Cumulative through,Designer,Series start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
Google cumulative through Q4 2024,Q4 2024,Google,2024-01-01,2024-12-31,26348.450454157446,28649.510036906184,30886.819110669392,396851108.728074,500396696.5895061,619610851.2553657,46893.599444234584,50931.037051545754,55008.600101115255,442168865.5395343,610098923.409509,810536650.4871991,1025707203.2954912,1179726042.7542942,1350264564.404042,575249143.1484637,628424776.7593789,683446764.3241361
Google cumulative through Q1 2025,Q1 2025,Google,2024-01-01,2025-03-31,38471.503749958945,41367.0710571799,44329.087763255106,585453641.5629311,723242228.8477461,879186504.4791908,63856.536469729115,68556.53746879786,73377.21554080937,605064711.5359974,821676687.140912,1075312959.8048384,1372708706.1594782,1543862536.5186715,1731660217.6690733,757542951.5142962,818771705.6998978,880572704.1183994
Google cumulative through Q2 2025,Q2 2025,Google,2024-01-01,2025-06-30,52764.96238128875,56459.59940078361,60097.7543558637,807754838.4341573,989496257.3561465,1192314427.6850517,84130.96580680182,89762.19148432293,95317.68419365342,797986023.9936237,1075988863.7382545,1398151881.5638897,1836979996.852425,2027995012.0521376,2229682520.794654,973230487.3680041,1041390009.6812968,1111469929.7487068
Google cumulative through Q3 2025,Q3 2025,Google,2024-01-01,2025-09-30,65348.41117611495,69657.33528687114,73959.42955921222,1004236976.1279825,1230677941.191498,1480158255.5710452,104920.12215682984,111480.1648225648,118024.40583847447,995594968.489413,1337185130.1202097,1732408977.6848426,2560484342.6880937,2791118327.459104,3038697552.66013,1223647978.4133697,1303253859.736722,1382367793.654953
Google cumulative through Q4 2025,Q4 2025,Google,2024-01-01,2025-12-31,75324.1541045009,80035.59411603991,84838.7374870276,1160979408.4937449,1428817799.3402917,1717517769.7687035,124432.04723590345,131804.90801973065,139298.92103588674,1179850487.282462,1581457963.6118968,2044458498.3487267,3506176267.93683,3810552628.0927715,4142052851.515292,1445645025.9962502,1533766270.2453861,1623140568.6593044
Google cumulative through Q1 2026,Q1 2026,Google,2024-01-01,2026-03-31,77407.98607676208,82249.42027439392,87229.40892851411,1193171726.3222988,1472145903.0757427,1771187361.3642068,130518.2963096987,138380.69272246928,146386.71259277652,1237069435.6447554,1660516359.5179005,2149027876.9190416,3827946745.4808145,4175055595.2970724,4554742452.019526,1637668369.1453614,1732232625.0335898,1827954890.590936
Amazon cumulative through Q1 2024,Q1 2024,Amazon,2024-01-01,2024-03-31,529.1988458705356,701.8163398944358,929.439250694157,8467181.53392857,12281785.948152628,17659345.76318898,3051.8273616979686,4090.5378232069575,5377.157557993929,28211946.818472695,48838728.561504975,79274173.29284078,76381394.12100285,99369566.04936984,128107200.69191933,26981852.74400362,43079848.89111914,65652461.22150044
Amazon cumulative through Q2 2024,Q2 2024,Amazon,2024-01-01,2024-06-30,1941.0777973405482,2381.95302838555,2826.194140970843,31057244.75744877,41684177.99674713,53697688.67844602,7815.592786320782,9680.736122149527,11853.822733879564,72902322.91720623,116093794.06014113,173950377.32960054,211191047.55702332,256089966.8468025,309319721.95024073,69979407.49665113,95367311.23676342,125700125.7282624
Amazon cumulative through Q3 2024,Q3 2024,Amazon,2024-01-01,2024-09-30,5445.160009878744,6487.9155332312785,7535.980959055964,87122560.15805991,113538521.83154738,143183638.22206333,16260.136609101592,19026.095046540526,22027.221707731962,151847196.9469027,227965696.4379503,324762760.0941992,477600591.0823572,559752799.6109192,650187698.91976,132616298.72898029,164707284.38490456,201920910.11494368
Amazon cumulative through Q4 2024,Q4 2024,Amazon,2024-01-01,2024-12-31,10246.247513556877,11607.6622948125,12986.091084012265,163939960.21691003,203134090.15921876,246735730.59623304,25056.419797640847,28429.278231705637,32002.127596134662,236678205.74469054,340771649.1287015,469207872.81164455,791160918.5609832,905287522.6958605,1035686764.4087172,239023833.60693824,281214449.4220307,326267781.0901407
